pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
,-21,-11.0,1021.0,NW,1.79,0,0
,-21,-12.0,1020.0,NW,4.92,0,0
,-21,-11.0,1019.0,NW,6.71,0,0
,-21,-14.0,1019.0,NW,9.84,0,0
,-20,-12.0,1018.0,NW,12.97,0,0
,-19,-10.0,1017.0,NW,16.1,0,0
,-19,-9.0,1017.0,NW,19.23,0,0
,-19,-9.0,1017.0,NW,21.02,0,0
,-19,-9.0,1017.0,NW,24.15,0,0
,-20,-8.0,1017.0,NW,27.28,0,0
,-19,-7.0,1017.0,NW,31.3,0,0
,-18,-5.0,1017.0,NW,34.43,0,0
,-19,-5.0,1015.0,NW,37.56,0,0
,-18,-3.0,1015.0,NW,40.69,0,0
,-18,-2.0,1014.0,NW,43.82,0,0
,-18,-1.0,1014.0,cv,0.89,0,0
,-19,-2.0,1015.0,NW,1.79,0,0
,-18,-3.0,1015.0,NW,2.68,0,0
,-18,-5.0,1016.0,NE,1.79,0,0
,-17,-4.0,1017.0,NW,1.79,0,0
,-17,-5.0,1017.0,cv,0.89,0,0
,-17,-5.0,1018.0,NW,1.79,0,0
,-17,-5.0,1018.0,NW,2.68,0,0
,-17,-5.0,1020.0,cv,0.89,0,0
129.0,-16,-4.0,1020.0,SE,1.79,0,0
148.0,-15,-4.0,1020.0,SE,2.68,0,0
159.0,-11,-5.0,1021.0,SE,3.57,0,0
181.0,-7,-5.0,1022.0,SE,5.36,1,0
138.0,-7,-5.0,1022.0,SE,6.25,2,0
109.0,-7,-6.0,1022.0,SE,7.14,3,0
105.0,-7,-6.0,1023.0,SE,8.93,4,0
124.0,-7,-5.0,1024.0,SE,10.72,0,0
120.0,-8,-6.0,1024.0,SE,12.51,0,0
132.0,-7,-5.0,1025.0,SE,14.3,0,0
140.0,-7,-5.0,1026.0,SE,17.43,1,0
152.0,-8,-5.0,1026.0,SE,20.56,0,0
148.0,-8,-5.0,1026.0,SE,23.69,0,0
164.0,-8,-5.0,1025.0,SE,27.71,0,0
