mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,car_name
18.0,8,307.0,130.0,3504.0,12.0,70,1,49
15.0,8,350.0,165.0,3693.0,11.5,70,1,36
18.0,8,318.0,150.0,3436.0,11.0,70,1,231
16.0,8,304.0,150.0,3433.0,12.0,70,1,14
17.0,8,302.0,140.0,3449.0,10.5,70,1,161
15.0,8,429.0,198.0,4341.0,10.0,70,1,141
14.0,8,454.0,220.0,4354.0,9.0,70,1,54
14.0,8,440.0,215.0,4312.0,8.5,70,1,223
14.0,8,455.0,225.0,4425.0,10.0,70,1,241
15.0,8,390.0,190.0,3850.0,8.5,70,1,1
15.0,8,383.0,170.0,3563.0,10.0,70,1,101
14.0,8,340.0,160.0,3609.0,8.0,70,1,215
15.0,8,400.0,150.0,3761.0,9.5,70,1,57
14.0,8,455.0,225.0,3086.0,10.0,70,1,30
24.0,4,113.0,95.0,2372.0,15.0,70,3,274
22.0,6,198.0,95.0,2833.0,15.5,70,1,220
18.0,6,199.0,97.0,2774.0,15.5,70,1,8
21.0,6,200.0,85.0,2587.0,16.0,70,1,150
27.0,4,97.0,88.0,2130.0,14.5,70,3,95
26.0,4,97.0,46.0,1835.0,20.5,70,2,282
25.0,4,110.0,87.0,2672.0,17.5,70,2,211
24.0,4,107.0,90.0,2430.0,14.5,70,2,16
25.0,4,104.0,95.0,2375.0,17.5,70,2,258
26.0,4,121.0,113.0,2234.0,12.5,70,2,22
21.0,6,199.0,90.0,2648.0,15.0,70,1,7
10.0,8,360.0,215.0,4615.0,14.0,70,1,133
10.0,8,307.0,200.0,4376.0,15.0,70,1,68
11.0,8,318.0,210.0,4382.0,13.5,70,1,112
9.0,8,304.0,193.0,4732.0,18.5,70,1,163
27.0,4,97.0,88.0,2130.0,14.5,71,3,95
28.0,4,140.0,90.0,2264.0,15.5,71,1,65
25.0,4,113.0,95.0,2228.0,14.0,71,3,271
19.0,6,232.0,100.0,2634.0,13.0,71,1,7
16.0,6,225.0,105.0,3439.0,15.5,71,1,232
17.0,6,250.0,100.0,3329.0,15.5,71,1,49
19.0,6,250.0,88.0,3302.0,15.5,71,1,162
18.0,6,232.0,100.0,3288.0,15.5,71,1,10
14.0,8,350.0,165.0,4209.0,12.0,71,1,54
14.0,8,400.0,175.0,4464.0,11.5,71,1,242
14.0,8,351.0,153.0,4154.0,13.5,71,1,141
14.0,8,318.0,150.0,4096.0,13.0,71,1,223
12.0,8,383.0,180.0,4955.0,11.5,71,1,116
13.0,8,400.0,170.0,4746.0,12.0,71,1,129
13.0,8,400.0,175.0,5140.0,12.0,71,1,250
18.0,6,258.0,110.0,2962.0,13.5,71,1,9
22.0,4,140.0,72.0,2408.0,19.0,71,1,64
19.0,6,250.0,100.0,3282.0,15.0,71,1,243
18.0,6,250.0,88.0,3139.0,14.5,71,1,151
23.0,4,122.0,86.0,2220.0,14.0,71,1,187
28.0,4,116.0,90.0,2123.0,14.0,71,2,208
30.0,4,79.0,70.0,2074.0,19.5,71,2,210
30.0,4,88.0,76.0,2065.0,14.5,71,2,123
31.0,4,71.0,65.0,1773.0,19.0,71,3,267
35.0,4,72.0,69.0,1613.0,18.0,71,3,76
27.0,4,97.0,60.0,1834.0,19.0,71,2,286
26.0,4,91.0,70.0,1955.0,20.5,71,1,218
24.0,4,113.0,95.0,2278.0,15.5,72,3,272
25.0,4,97.5,80.0,2126.0,17.0,72,1,105
23.0,4,97.0,54.0,2254.0,23.5,72,2,293
20.0,4,140.0,90.0,2408.0,19.5,72,1,63
21.0,4,122.0,86.0,2226.0,16.5,72,1,158
13.0,8,350.0,165.0,4274.0,12.0,72,1,54
14.0,8,400.0,175.0,4385.0,12.0,72,1,241
15.0,8,318.0,150.0,4135.0,13.5,72,1,223
14.0,8,351.0,153.0,4129.0,13.0,72,1,141
17.0,8,304.0,150.0,3672.0,11.5,72,1,2
11.0,8,429.0,208.0,4633.0,11.0,72,1,192
13.0,8,350.0,155.0,4502.0,13.5,72,1,31
12.0,8,350.0,160.0,4456.0,13.5,72,1,203
13.0,8,400.0,190.0,4422.0,12.5,72,1,75
19.0,3,70.0,97.0,2330.0,13.5,72,3,183
15.0,8,304.0,150.0,3892.0,12.5,72,1,11
13.0,8,307.0,130.0,4098.0,14.0,72,1,48
13.0,8,302.0,140.0,4294.0,16.0,72,1,143
14.0,8,318.0,150.0,4077.0,14.0,72,1,233
18.0,4,121.0,112.0,2933.0,14.5,72,2,295
22.0,4,121.0,76.0,2511.0,18.0,72,2,283
21.0,4,120.0,87.0,2979.0,19.5,72,2,212
26.0,4,96.0,69.0,2189.0,18.0,72,2,253
22.0,4,122.0,86.0,2395.0,16.0,72,1,157
28.0,4,97.0,92.0,2288.0,17.0,72,3,85
23.0,4,120.0,97.0,2506.0,14.5,72,3,279
28.0,4,98.0,80.0,2164.0,15.0,72,1,104
27.0,4,97.0,88.0,2100.0,16.5,72,3,268
13.0,8,350.0,175.0,4100.0,13.0,73,1,25
14.0,8,304.0,150.0,3672.0,11.5,73,1,10
13.0,8,350.0,145.0,3988.0,13.0,73,1,55
14.0,8,302.0,137.0,4042.0,14.5,73,1,142
15.0,8,318.0,150.0,3777.0,12.5,73,1,109
12.0,8,429.0,198.0,4952.0,11.5,73,1,193
13.0,8,400.0,150.0,4464.0,12.0,73,1,44
13.0,8,351.0,158.0,4363.0,13.0,73,1,148
14.0,8,318.0,150.0,4237.0,14.5,73,1,222
13.0,8,440.0,215.0,4735.0,11.0,73,1,74
12.0,8,455.0,225.0,4951.0,11.0,73,1,29
13.0,8,360.0,175.0,3821.0,11.0,73,1,0
18.0,6,225.0,105.0,3121.0,16.5,73,1,235
16.0,6,250.0,100.0,3278.0,18.0,73,1,62
18.0,6,232.0,100.0,2945.0,16.0,73,1,8
18.0,6,250.0,88.0,3021.0,16.5,73,1,150
23.0,6,198.0,95.0,2904.0,16.0,73,1,220
26.0,4,97.0,46.0,1950.0,21.0,73,2,292
11.0,8,400.0,150.0,4997.0,14.0,73,1,54
12.0,8,400.0,167.0,4906.0,12.5,73,1,128
13.0,8,360.0,170.0,4654.0,13.0,73,1,219
12.0,8,350.0,180.0,4499.0,12.5,73,1,207
18.0,6,232.0,100.0,2789.0,15.0,73,1,7
20.0,4,97.0,88.0,2279.0,19.0,73,3,263
21.0,4,140.0,72.0,2401.0,19.5,73,1,63
22.0,4,108.0,94.0,2379.0,16.5,73,3,87
18.0,3,70.0,90.0,2124.0,13.5,73,3,174
19.0,4,122.0,85.0,2310.0,18.5,73,1,156
21.0,6,155.0,107.0,2472.0,14.0,73,1,188
26.0,4,98.0,90.0,2265.0,15.5,73,2,121
15.0,8,350.0,145.0,4082.0,13.0,73,1,59
16.0,8,400.0,230.0,4278.0,9.5,73,1,244
29.0,4,68.0,49.0,1867.0,19.5,73,2,124
24.0,4,116.0,75.0,2158.0,15.5,73,2,209
20.0,4,114.0,91.0,2582.0,14.0,73,2,17
19.0,4,121.0,112.0,2868.0,15.5,73,2,294
15.0,8,318.0,150.0,3399.0,11.0,73,1,113
24.0,4,121.0,110.0,2660.0,14.0,73,2,260
20.0,6,156.0,122.0,2807.0,13.5,73,3,276
11.0,8,350.0,180.0,3664.0,11.0,73,1,204
20.0,6,198.0,95.0,3102.0,16.5,74,1,220
19.0,6,232.0,100.0,2901.0,16.0,74,1,8
15.0,6,250.0,100.0,3336.0,17.0,74,1,61
31.0,4,79.0,67.0,1950.0,19.0,74,3,92
26.0,4,122.0,80.0,2451.0,16.5,74,1,156
32.0,4,71.0,65.0,1836.0,21.0,74,3,267
25.0,4,140.0,75.0,2542.0,17.0,74,1,63
16.0,6,250.0,100.0,3781.0,17.0,74,1,50
16.0,6,258.0,110.0,3632.0,18.0,74,1,10
18.0,6,225.0,105.0,3613.0,16.5,74,1,234
16.0,8,302.0,140.0,4141.0,14.0,74,1,142
13.0,8,350.0,150.0,4699.0,14.5,74,1,27
14.0,8,318.0,150.0,4457.0,13.5,74,1,110
14.0,8,302.0,140.0,4638.0,16.0,74,1,143
14.0,8,304.0,150.0,4257.0,15.5,74,1,11
29.0,4,98.0,83.0,2219.0,16.5,74,2,21
26.0,4,79.0,67.0,1963.0,15.5,74,2,284
26.0,4,97.0,78.0,2300.0,14.5,74,2,209
31.0,4,76.0,52.0,1649.0,16.5,74,3,271
32.0,4,83.0,61.0,2003.0,19.0,74,3,88
28.0,4,90.0,75.0,2125.0,14.5,74,1,103
24.0,4,90.0,75.0,2108.0,15.5,74,2,124
26.0,4,116.0,75.0,2246.0,14.0,74,2,122
24.0,4,120.0,97.0,2489.0,15.0,74,3,167
26.0,4,108.0,93.0,2391.0,15.5,74,3,261
31.0,4,79.0,67.0,2000.0,16.0,74,2,127
19.0,6,225.0,95.0,3264.0,16.0,75,1,236
18.0,6,250.0,105.0,3459.0,16.0,75,1,61
15.0,6,250.0,72.0,3432.0,21.0,75,1,194
15.0,6,250.0,72.0,3158.0,19.5,75,1,150
16.0,8,400.0,170.0,4668.0,11.5,75,1,241
15.0,8,350.0,145.0,4440.0,14.0,75,1,42
16.0,8,318.0,150.0,4498.0,14.5,75,1,224
14.0,8,351.0,148.0,4657.0,13.5,75,1,148
17.0,6,231.0,110.0,3907.0,21.0,75,1,24
16.0,6,250.0,105.0,3897.0,18.5,75,1,41
15.0,6,258.0,110.0,3730.0,19.0,75,1,10
18.0,6,225.0,95.0,3785.0,19.0,75,1,221
21.0,6,231.0,110.0,3039.0,15.0,75,1,34
20.0,8,262.0,110.0,3221.0,13.5,75,1,60
13.0,8,302.0,129.0,3169.0,12.0,75,1,154
29.0,4,97.0,75.0,2171.0,16.0,75,3,266
23.0,4,140.0,83.0,2639.0,17.0,75,1,156
20.0,6,232.0,100.0,2914.0,16.0,75,1,7
23.0,4,140.0,78.0,2592.0,18.5,75,1,240
24.0,4,134.0,96.0,2702.0,13.5,75,3,271
25.0,4,90.0,71.0,2223.0,16.5,75,2,284
24.0,4,119.0,97.0,2545.0,17.0,75,3,88
18.0,6,171.0,97.0,2984.0,14.5,75,1,156
29.0,4,90.0,70.0,1937.0,14.0,75,2,287
19.0,6,232.0,90.0,3211.0,17.0,75,1,12
23.0,4,115.0,95.0,2694.0,15.0,75,2,17
23.0,4,120.0,88.0,2957.0,17.0,75,2,211
22.0,4,121.0,98.0,2945.0,14.5,75,2,296
25.0,4,121.0,115.0,2671.0,13.5,75,2,260
33.0,4,91.0,53.0,1795.0,17.5,75,3,171
28.0,4,107.0,86.0,2464.0,15.5,76,2,125
25.0,4,116.0,81.0,2220.0,16.9,76,2,208
25.0,4,140.0,92.0,2572.0,14.9,76,1,40
26.0,4,98.0,79.0,2255.0,17.7,76,1,103
27.0,4,101.0,83.0,2202.0,15.3,76,2,254
17.5,8,305.0,140.0,4215.0,13.0,76,1,50
16.0,8,318.0,150.0,4190.0,13.0,76,1,108
15.5,8,304.0,120.0,3962.0,13.9,76,1,10
14.5,8,351.0,152.0,4215.0,12.8,76,1,142
22.0,6,225.0,100.0,3233.0,15.4,76,1,235
22.0,6,250.0,105.0,3353.0,14.5,76,1,61
24.0,6,200.0,81.0,3012.0,17.6,76,1,150
22.5,6,232.0,90.0,3085.0,17.6,76,1,8
29.0,4,85.0,52.0,2035.0,22.2,76,1,51
24.5,4,98.0,60.0,2164.0,22.1,76,1,66
29.0,4,90.0,70.0,1937.0,14.2,76,2,302
33.0,4,91.0,53.0,1795.0,17.4,76,3,167
20.0,6,225.0,100.0,3651.0,17.7,76,1,100
18.0,6,250.0,78.0,3574.0,21.0,76,1,145
18.5,6,250.0,110.0,3645.0,16.2,76,1,252
17.5,6,258.0,95.0,3193.0,17.8,76,1,13
29.5,4,97.0,71.0,1825.0,12.2,76,2,287
32.0,4,85.0,70.0,1990.0,17.0,76,3,91
28.0,4,97.0,75.0,2155.0,16.4,76,3,266
26.5,4,140.0,72.0,2565.0,13.6,76,1,156
20.0,4,130.0,102.0,3150.0,15.7,76,2,297
13.0,8,318.0,150.0,3940.0,13.2,76,1,239
19.0,4,120.0,88.0,3270.0,21.9,76,2,211
19.0,6,156.0,108.0,2930.0,15.5,76,3,276
16.5,6,168.0,120.0,3820.0,16.7,76,2,186
16.5,8,350.0,180.0,4380.0,12.1,76,1,39
13.0,8,350.0,145.0,4055.0,12.0,76,1,67
13.0,8,302.0,130.0,3870.0,15.0,76,1,132
13.0,8,318.0,150.0,3755.0,14.0,76,1,111
31.5,4,98.0,68.0,2045.0,18.5,77,3,165
30.0,4,111.0,80.0,2155.0,14.8,77,1,32
36.0,4,79.0,58.0,1825.0,18.6,77,2,256
25.5,4,122.0,96.0,2300.0,15.5,77,1,216
33.5,4,85.0,70.0,1945.0,16.8,77,3,94
17.5,8,305.0,145.0,3880.0,12.5,77,1,44
17.0,8,260.0,110.0,4060.0,19.0,77,1,202
15.5,8,318.0,145.0,4140.0,13.7,77,1,117
15.0,8,302.0,130.0,4295.0,14.9,77,1,189
17.5,6,250.0,110.0,3520.0,16.4,77,1,53
20.5,6,231.0,105.0,3425.0,16.9,77,1,35
19.0,6,225.0,100.0,3630.0,17.7,77,1,238
18.5,6,250.0,98.0,3525.0,19.0,77,1,144
16.0,8,400.0,180.0,4220.0,11.1,77,1,245
15.5,8,350.0,170.0,4165.0,11.4,77,1,58
15.5,8,400.0,190.0,4325.0,12.2,77,1,70
16.0,8,351.0,149.0,4335.0,14.5,77,1,160
29.0,4,97.0,78.0,1940.0,14.5,77,2,288
24.5,4,151.0,88.0,2740.0,16.0,77,1,251
26.0,4,97.0,75.0,2265.0,18.2,77,3,269
25.5,4,140.0,89.0,2755.0,15.8,77,1,155
30.5,4,98.0,63.0,2051.0,17.0,77,1,51
33.5,4,98.0,83.0,2075.0,15.9,77,1,107
30.0,4,97.0,67.0,1985.0,16.4,77,3,262
30.5,4,97.0,78.0,2190.0,14.1,77,2,284
22.0,6,146.0,97.0,2815.0,14.5,77,3,89
21.5,4,121.0,110.0,2600.0,12.8,77,2,23
21.5,3,80.0,110.0,2720.0,13.5,77,3,181
43.1,4,90.0,48.0,1985.0,21.5,78,2,289
36.1,4,98.0,66.0,1800.0,14.4,78,1,139
32.8,4,78.0,52.0,1985.0,19.4,78,3,180
39.4,4,85.0,70.0,2070.0,18.6,78,3,93
36.1,4,91.0,60.0,1800.0,16.4,78,3,171
19.9,8,260.0,110.0,3365.0,15.5,78,1,201
